objectid,parentid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
asc_001,,service-pnp-ds-06500-06560v.jpg,Main public library building - Detroit,"Gilbert, Cass",1921,"Photograph shows view of Carnegie library in Detroit, Michigan.",Advertisements; Architectural Photographs; Berry Brothers; Buildings; Carnegie Libraries; Collotypes; Detroit; Detroit Public Library; Hand-Colored; Michigan; Postcards; Public Libraries; Public Relations,"Detroit, Michigan",42.35854697,-83.06677483,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",2014647618,Image;StillImage,image/jpeg,eng,No known restrictions on publication.,,image,/objects/service-pnp-ds-06500-06560v.jpg,/objects/small/service-pnp-ds-06500-06560r.jpg,/objects/thumbs/service-pnp-ds-06500-06560_150px.jpg,,
asc_002,,service-pnp-ppmsca-18000-18016v.jpg,"The Library of Congress, Washington",Detroit Photographic Co,1902,Photochrom print of the Library of Congress.,"Color; Libraries; Library of Congress Thomas Jefferson Building (Washington, D.C.); Photochrom Prints; United States; Washington (D.C.)",Washington D.C.,38.88871926,-77.00473518,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",2008678216,Image;StillImage,image/jpeg,eng,No known restrictions on publication.,,image,/objects/service-pnp-ppmsca-18000-18016v.jpg,/objects/small/service-pnp-ppmsca-18000-18016r.jpg,/objects/thumbs/service-pnp-ppmsca-18000-18016_150px.jpg,,
asc_003,,service-pnp-habshaer-ok-ok0000-ok0012-sheet-00001v.jpg,Title sheet with location plan and site plan,"Historic American Buildings Survey, creator; Bennett, J. H.; Vandenburg, H. J.; New York Hardware Company; Lillie, F. B.; Wenner, Fred L.; Frantz, Frank; Haskell, Charles N.; Gryb, Barry R., field team; Takenaka, Howard M., field team; Haggard, John C., project manager; Barrett, William Edmund, photographer; Hnedak, John D., historian; Robbins, John C., delineator; Smith, Julian, delineator; Oklahoma Historical Society, sponsor",1933,Building survey of the Guthrie Carnegie Library in Oklahoma.,Brick Buildings; Galleries & Museums; Libraries; Philanthropy; Reading; Stone Buildings (Sandstone); Storage,"Logan County, Oklahoma; Guthrie, Oklahoma",35.87866701,-97.42129208,Historic American Buildings Survey (Library of Congress),ok0012,Image;StillImage,image/jpeg,eng,No known restrictions on images made by the U.S. Government; images copied from other sources may be restricted.,,multiple,/objects/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00001v.jpg,/objects/small/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00001r.jpg,/objects/thumbs/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00001_150px.jpg,,
asc_004,asc_003,service-pnp-habshaer-ok-ok0000-ok0012-sheet-00002v.jpg,Sub-basement plan,,,,,,,,,,Image;StillImage,image/jpeg,eng,,,image,/objects/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00002v.jpg,/objects/small/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00002r.jpg,/objects/thumbs/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00002_150px.jpg,,
asc_005,asc_003,service-pnp-habshaer-ok-ok0000-ok0012-sheet-00003v.jpg,Basement plan,,,,,,,,,,Image;StillImage,image/jpeg,eng,,,image,/objects/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00003v.jpg,/objects/small/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00003r.jpg,/objects/thumbs/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00003_150px.jpg,,
asc_006,asc_003,service-pnp-habshaer-ok-ok0000-ok0012-sheet-00004v.jpg,First floor plan,,,,,,,,,,Image;StillImage,image/jpeg,eng,,,image,/objects/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00004v.jpg,/objects/small/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00004r.jpg,/objects/thumbs/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00004_150px.jpg,,
asc_007,asc_003,service-pnp-habshaer-ok-ok0000-ok0012-sheet-00005v.jpg,South elevation,,,,,,,,,,Image;StillImage,image/jpeg,eng,,,image,/objects/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00005v.jpg,/objects/small/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00005r.jpg,/objects/thumbs/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00005_150px.jpg,,
asc_008,asc_003,service-pnp-habshaer-ok-ok0000-ok0012-sheet-00006v.jpg,West elevation,,,,,,,,,,Image;StillImage,image/jpeg,eng,,,image,/objects/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00006v.jpg,/objects/small/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00006r.jpg,/objects/thumbs/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00006_150px.jpg,,
asc_009,asc_003,service-pnp-habshaer-ok-ok0000-ok0012-sheet-00007v.jpg,North elevation,,,,,,,,,,Image;StillImage,image/jpeg,eng,,,image,/objects/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00007v.jpg,/objects/small/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00007r.jpg,/objects/thumbs/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00007_150px.jpg,,
asc_010,asc_003,service-pnp-habshaer-ok-ok0000-ok0012-sheet-00008v.jpg,Cross section,,,,,,,,,,Image;StillImage,image/jpeg,eng,,,image,/objects/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00008v.jpg,/objects/small/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00008r.jpg,/objects/thumbs/service-pnp-habshaer-ok-ok0000-ok0012-sheet-00008_150px.jpg,,
asc_011,,service-pnp-cph-3f00000-3f05000-3f05100-3f05183v.jpg,For greater knowledge on more subjects use your library more often,Federal Art Project,1936,"Poster showing a mortarboard and a pair of glasses superimposed over a globe, promoting use of libraries.",Chicago; Color; Education; Illinois; Libraries; Posters; Screen Prints,"Chicago, Illinois",,,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",98508155,Image;StillImage,image/jpeg,eng,No known restrictions on publication.,,image,/objects/service-pnp-cph-3f00000-3f05000-3f05100-3f05183v.jpg,/objects/small/service-pnp-cph-3f00000-3f05000-3f05100-3f05183r.jpg,/objects/thumbs/service-pnp-cph-3f00000-3f05000-3f05100-3f05183_150px.jpg,,
asc_012,,iiif-service_pnp_highsm_20300_20336-full-pct_25-0-default.jpg,"Noyes Library for Young Children, Kensington, Maryland","Highsmith, Carol M.",2011-09,"Photograph inside Noyes Library for Young Children in Kensington, Maryland.",America; Color; Digital Photographs; Kensington; Libraries; Maryland; United States,"Kensington, Maryland",39.0245706,-77.07296169,"Highsmith, Carol M., 1946- Carol M. Highsmith Archive.",2012630017,Image;StillImage,image/jpeg,eng,No known restrictions on publication.,,image,/objects/iiif-service_pnp_highsm_20300_20336-full-pct_25-0-default.jpg,/objects/small/iiif-service_pnp_highsm_20300_20336-full-pct_12.5-0-default.jpg,/objects/thumbs/iiif-service_pnp_highsm_20300_20336-full-pct_6.25-0-default.jpg,,